2026-01-12T02:00:00 FIREWALL BLOCK src=192.168.1.50 dst=192.168.1.10 port=445 proto=TCP action=DENY reason=policy_block
2026-01-12T02:22:00 FIREWALL DROP src=203.0.113.50 dst=192.168.1.10 port=1433 proto=TCP action=DROP reason=sql_injection
2026-01-12T02:23:00 FIREWALL ALLOW src=192.168.1.55 dst=192.168.1.10 port=514 proto=UDP action=ALLOW reason=syslog
2026-01-12T02:24:00 FIREWALL BLOCK src=198.51.100.25 dst=192.168.1.10 port=6379 proto=TCP action=BLOCK reason=redis_exploit
2026-01-12T02:25:00 FIREWALL WARNING src=45.33.12.55 dst=192.168.1.10 port=27017 proto=TCP action=WARNING reason=mongodb_probe
2026-01-12T02:26:00 FIREWALL ALLOW src=10.0.0.75 dst=192.168.1.10 port=9090 proto=TCP action=ALLOW reason=monitoring
2026-01-12T02:27:00 FIREWALL ALERT src=203.0.113.50 dst=192.168.1.10 port=3128 proto=TCP action=ALERT reason=proxy_probe
2026-01-12T02:28:00 FIREWALL DROP src=198.51.100.25 dst=192.168.1.10 port=11211 proto=TCP action=DROP reason=memcached_amplification
2026-01-12T02:29:00 FIREWALL ALLOW src=192.168.1.175 dst=192.168.1.10 port=9200 proto=TCP action=ALLOW reason=elasticsearch
2026-01-12T02:30:00 FIREWALL REJECT src=45.33.12.55 dst=192.168.1.10 port=6379 proto=TCP action=REJECT reason=redis_unauthorized
2026-01-12T02:31:00 FIREWALL ALLOW src=10.0.0.100 dst=192.168.1.10 port=5672 proto=TCP action=ALLOW reason=rabbitmq
2026-01-12T02:32:00 FIREWALL WARNING src=203.0.113.50 dst=192.168.1.10 port=8086 proto=TCP action=WARNING reason=influxdb_probe
2026-01-12T02:33:00 FIREWALL BLOCK src=198.51.100.25 dst=192.168.1.10 port=5000 proto=TCP action=BLOCK reason=api_scan
2026-01-12T02:34:00 FIREWALL ALLOW src=192.168.1.200 dst=192.168.1.10 port=3000 proto=TCP action=ALLOW reason=dev_server
2026-01-12T02:35:00 FIREWALL ALERT src=45.33.12.55 dst=192.168.1.10 port=8888 proto=TCP action=ALERT reason=http_alt_probe
2026-01-12T02:36:00 FIREWALL DROP src=203.0.113.50 dst=192.168.1.10 port=8443 proto=TCP action=DROP reason=ssl_cert_scan
2026-01-12T02:37:00 FIREWALL ALLOW src=192.168.1.125 dst=192.168.1.10 port=5432 proto=TCP action=ALLOW reason=postgres_connection
2026-01-12T02:38:00 FIREWALL BLOCK src=198.51.100.25 dst=192.168.1.10 port=27018 proto=TCP action=BLOCK reason=mongodb_shard
2026-01-12T02:39:00 FIREWALL WARNING src=45.33.12.55 dst=192.168.1.10 port=2375 proto=TCP action=WARNING reason=docker_api
2026-01-12T02:40:00 FIREWALL ALLOW src=10.0.0.150 dst=192.168.1.10 port=2376 proto=TCP action=ALLOW reason=docker_tls
2026-01-12T02:41:00 FIREWALL ALERT src=203.0.113.50 dst=192.168.1.10 port=6443 proto=TCP action=ALERT reason=k8s_api_probe
2026-01-12T02:42:00 FIREWALL DROP src=198.51.100.25 dst=192.168.1.10 port=2375 proto=TCP action=DROP reason=unsecured_docker
2026-01-12T02:43:00 FIREWALL ALLOW src=192.168.1.250 dst=192.168.1.10 port=8500 proto=TCP action=ALLOW reason=consul
2026-01-12T02:44:00 FIREWALL BLOCK src=45.33.12.55 dst=192.168.1.10 port=15672 proto=TCP action=BLOCK reason=rabbitmq_admin
2026-01-12T02:45:00 FIREWALL WARNING src=203.0.113.50 dst=192.168.1.10 port=15692 proto=TCP action=WARNING reason=prometheus_probe
2026-01-12T02:46:00 FIREWALL ALLOW src=192.168.1.75 dst=192.168.1.10 port=5601 proto=TCP action=ALLOW reason=kibana
2026-01-12T02:47:00 FIREWALL ALERT src=198.51.100.25 dst=192.168.1.10 port=4040 proto=TCP action=ALERT reason=spark_ui
2026-01-12T02:48:00 FIREWALL DROP src=45.33.12.55 dst=192.168.1.10 port=7077 proto=TCP action=DROP reason=spark_driver
2026-01-12T02:49:00 FIREWALL ALLOW src=10.0.0.200 dst=192.168.1.10 port=8088 proto=TCP action=ALLOW reason=hadoop_resourcemanager
2026-01-12T02:50:00 FIREWALL REJECT src=203.0.113.50 dst=192.168.1.10 port=50070 proto=TCP action=REJECT reason=hdfs_namenode
2026-01-12T02:51:00 FIREWALL WARNING src=198.51.100.25 dst=192.168.1.10 port=19888 proto=TCP action=WARNING reason=jobhistory
2026-01-12T02:52:00 FIREWALL ALLOW src=192.168.1.95 dst=192.168.1.10 port=9092 proto=TCP action=ALLOW reason=kafka
2026-01-12T02:53:00 FIREWALL BLOCK src=45.33.12.55 dst=192.168.1.10 port=2181 proto=TCP action=BLOCK reason=zookeeper
2026-01-12T02:54:00 FIREWALL ALERT src=203.0.113.50 dst=192.168.1.10 port=9093 proto=TCP action=ALERT reason=kafka_ssl
2026-01-12T02:55:00 FIREWALL DROP src=198.51.100.25 dst=192.168.1.10 port=7072 proto=TCP action=DROP reason=spark_rest
2026-01-12T02:56:00 FIREWALL ALLOW src=192.168.1.180 dst=192.168.1.10 port=10000 proto=TCP action=ALLOW reason=thrift
2026-01-12T02:57:00 FIREWALL WARNING src=45.33.12.55 dst=192.168.1.10 port=9083 proto=TCP action=WARNING reason=hbase_master
2026-01-12T02:58:00 FIREWALL ALLOW src=10.0.0.125 dst=192.168.1.10 port=16000 proto=TCP action=ALLOW reason=cassandra
2026-01-12T02:59:00 FIREWALL BLOCK src=203.0.113.50 dst=192.168.1.10 port=9042 proto=TCP action=BLOCK reason=cassandra_client
2026-01-12T03:00:00 FIREWALL ALERT src=198.51.100.25 dst=192.168.1.10 port=8983 proto=TCP action=ALERT reason=solr_probe
2026-01-12T03:01:00 FIREWALL DROP src=45.33.12.55 dst=192.168.1.10 port=7577 proto=TCP action=DROP reason=storm_ui
2026-01-12T03:02:00 FIREWALL ALLOW src=192.168.1.220 dst=192.168.1.10 port=9990 proto=TCP action=ALLOW reason=wildfly
2026-01-12T03:03:00 FIREWALL REJECT src=203.0.113.50 dst=192.168.1.10 port=9991 proto=TCP action=REJECT reason=wildfly_jmx
2026-01-12T03:04:00 FIREWALL WARNING src=198.51.100.25 dst=192.168.1.10 port=8080 proto=TCP action=WARNING reason=http_alt_scan
2026-01-12T03:05:00 FIREWALL ALLOW src=10.0.0.175 dst=192.168.1.10 port=61616 proto=TCP action=ALLOW reason=activemq
2026-01-12T03:06:00 FIREWALL BLOCK src=45.33.12.55 dst=192.168.1.10 port=61613 proto=TCP action=BLOCK reason=stomp_probe
2026-01-12T03:07:00 FIREWALL ALERT src=203.0.113.50 dst=192.168.1.10 port=8161 proto=TCP action=ALERT reason=activemq_admin
2026-01-12T03:08:00 FIREWALL DROP src=198.51.100.25 dst=192.168.1.10 port=7474 proto=TCP action=DROP reason=neo4j_http
2026-01-12T03:09:00 FIREWALL ALLOW src=192.168.1.140 dst=192.168.1.10 port=7687 proto=TCP action=ALLOW reason=neo4j_bolt
2026-01-12T03:10:00 FIREWALL WARNING src=45.33.12.55 dst=192.168.1.10 port=7473 proto=TCP action=WARNING reason=neo4j_https
2026-01-12T03:11:00 FIREWALL ALLOW src=192.168.1.160 dst=192.168.1.10 port=7474 proto=TCP action=ALLOW reason=neo4j_browser
2026-01-12T03:12:00 FIREWALL BLOCK src=203.0.113.50 dst=192.168.1.10 port=5433 proto=TCP action=BLOCK reason=postgres_variant
2026-01-12T03:13:00 FIREWALL ALERT src=198.51.100.25 dst=192.168.1.10 port=2082 proto=TCP action=ALERT reason=cpanel_probe
2026-01-12T03:14:00 FIREWALL DROP src=45.33.12.55 dst=192.168.1.10 port=2083 proto=TCP action=DROP reason=cpanel_ssl
2026-01-12T03:15:00 FIREWALL ALLOW src=10.0.0.225 dst=192.168.1.10 port=2082 proto=TCP action=ALLOW reason=cpanel_admin
2026-01-12T03:16:00 FIREWALL REJECT src=203.0.113.50 dst=192.168.1.10 port=2096 proto=TCP action=REJECT reason=webmail_ssl
2026-01-12T03:17:00 FIREWALL WARNING src=198.51.100.25 dst=192.168.1.10 port=2078 proto=TCP action=WARNING reason=webmail_proxy
2026-01-12T03:18:00 FIREWALL ALLOW src=192.168.1.185 dst=192.168.1.10 port=2077 proto=TCP action=ALLOW reason=whm_api
2026-01-12T03:19:00 FIREWALL BLOCK src=45.33.12.55 dst=192.168.1.10 port=3000 proto=TCP action=BLOCK reason=nodejs_scan
2026-01-12T03:20:00 FIREWALL ALERT src=203.0.113.50 dst=192.168.1.10 port=4000 proto=TCP action=ALERT reason=dev_server_probe
2026-01-12T03:21:00 FIREWALL DROP src=198.51.100.25 dst=192.168.1.10 port=4200 proto=TCP action=DROP reason=angular_proxy
2026-01-12T03:22:00 FIREWALL ALLOW src=192.168.1.210 dst=192.168.1.10 port=8000 proto=TCP action=ALLOW reason=http_alt
2026-01-12T03:23:00 FIREWALL WARNING src=45.33.12.55 dst=192.168.1.10 port=8008 proto=TCP action=WARNING reason=http_alt_probe
2026-01-12T03:24:00 FIREWALL ALLOW src=10.0.0.135 dst=192.168.1.10 port=8888 proto=TCP action=ALLOW reason=http_alt2
2026-01-12T03:25:00 FIREWALL BLOCK src=203.0.113.50 dst=192.168.1.10 port=9000 proto=TCP action=BLOCK reason=php_fpm
2026-01-12T03:26:00 FIREWALL ALERT src=198.51.100.25 dst=192.168.1.10 port=9001 proto=TCP action=ALERT reason=tor_proxy
2026-01-12T03:27:00 FIREWALL DROP src=45.33.12.55 dst=192.168.1.10 port=9093 proto=TCP action=DROP reason=prometheus_alert
2026-01-12T03:28:00 FIREWALL ALLOW src=192.168.1.195 dst=192.168.1.10 port=9094 proto=TCP action=ALLOW reason=alert_manager
2026-01-12T03:29:00 FIREWALL REJECT src=203.0.113.50 dst=192.168.1.10 port=3100 proto=TCP action=REJECT reason=loki_log
2026-01-12T03:30:00 FIREWALL WARNING src=198.51.100.25 dst=192.168.1.10 port=3101 proto=TCP action=WARNING reason=loki_memberlist
2026-01-12T03:31:00 FIREWALL ALLOW src=192.168.1.205 dst=192.168.1.10 port=16686 proto=TCP action=ALLOW reason=jaeger_query
2026-01-12T03:32:00 FIREWALL BLOCK src=45.33.12.55 dst=192.168.1.10 port=14268 proto=TCP action=BLOCK reason=jaeger_collector
2026-01-12T03:33:00 FIREWALL ALERT src=203.0.113.50 dst=192.168.1.10 port=9411 proto=TCP action=ALERT reason=zipkin
2026-01-12T03:34:00 FIREWALL DROP src=198.51.100.25 dst=192.168.1.10 port=4314 proto=TCP action=DROP reason=opentelemetry
2026-01-12T03:35:00 FIREWALL ALLOW src=10.0.0.145 dst=192.168.1.10 port=4315 proto=TCP action=ALLOW reason=opentelemetry_grpc
2026-01-12T03:36:00 FIREWALL WARNING src=45.33.12.55 dst=192.168.1.10 port=4316 proto=TCP action=WARNING reason=opentelemetry_http
2026-01-12T03:37:00 FIREWALL ALLOW src=192.168.1.155 dst=192.168.1.10 port=4317 proto=TCP action=ALLOW reason=opentelemetry_collector
2026-01-12T03:38:00 FIREWALL BLOCK src=203.0.113.50 dst=192.168.1.10 port=4318 proto=TCP action=BLOCK reason=opentelemetry_probe
2026-01-12T03:39:00 FIREWALL ALERT src=198.51.100.25 dst=192.168.1.10 port=8888 proto=TCP action=ALERT reason=otel_gateway
2026-01-12T03:40:00 FIREWALL DROP src=45.33.12.55 dst=192.168.1.10 port=8889 proto=TCP action=DROP reason=otel_legacy
2026-01-12T03:41:00 FIREWALL ALLOW src=192.168.1.165 dst=192.168.1.10 port=13133 proto=TCP action=ALLOW reason=health_check
2026-01-12T03:42:00 FIREWALL REJECT src=203.0.113.50 dst=192.168.1.10 port=55679 proto=TCP action=REJECT reason=otel_exporter
2026-01-12T03:43:00 FIREWALL WARNING src=198.51.100.25 dst=192.168.1.10 port=55680 proto=TCP action=WARNING reason=jaeger_receiver
2026-01-12T03:44:00 FIREWALL ALLOW src=10.0.0.185 dst=192.168.1.10 port=14250 proto=TCP action=ALLOW reason=jaeger_grpc
2026-01-12T03:45:00 FIREWALL BLOCK src=45.33.12.55 dst=192.168.1.10 port=14251 proto=TCP action=BLOCK reason=jaeger_http
2026-01-12T03:46:00 FIREWALL ALERT src=203.0.113.50 dst=192.168.1.10 port=15692 proto=TCP action=ALERT reason=cadvisor_probe
2026-01-12T03:47:00 FIREWALL DROP src=198.51.100.25 dst=192.168.1.10 port=9090 proto=TCP action=DROP reason=prometheus_target
2026-01-12T03:48:00 FIREWALL ALLOW src=192.168.1.115 dst=192.168.1.10 port=9100 proto=TCP action=ALLOW reason=node_exporter
2026-01-12T03:49:00 FIREWALL WARNING src=45.33.12.55 dst=192.168.1.10 port=9180 proto=TCP action=WARNING reason=postgres_exporter
2026-01-12T03:50:00 FIREWALL ALLOW src=192.168.1.130 dst=192.168.1.10 port=9121 proto=TCP action=ALLOW reason=mysqld_exporter
2026-01-12T03:51:00 FIREWALL BLOCK src=203.0.113.50 dst=192.168.1.10 port=9117 proto=TCP action=BLOCK reason=redis_exporter
2026-01-12T03:52:00 FIREWALL ALERT src=198.51.100.25 dst=192.168.1.10 port=9256 proto=TCP action=ALERT reason=prometheus_push
